gene_A,gene_B,uniprot_A,uniprot_B,supply_bucket,same_class,metal_either,min_strict_hardneg,n_both_measured,pocket_A,pocket_B,n_holo_A,n_holo_B,h3_A,h3_B,h3_pass,example_pdbs_A,example_pdbs_B,n_shared_non_solvent_ligands,shared_chem_comp,structure_decision,include_for_fresh_roster,structure_note
GAA,ALDH1A1,P10253,P00352,qhts_or_common_counter_screen,0,0,63,9762,qhts_counterscreen,qhts_counterscreen,19,22,1,1,1,8CB1;9GTW;9GSV;9GTN;7P32;5NN4;7P2Z;5NN3,7JWS;7JWV;7JWW;5L2M;5L2N;4WJ9;8T0T;4WP7,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
HSD17B10,MAPT,Q99714,P10636,qhts_or_common_counter_screen,0,0,62,4523,qhts_counterscreen,qhts_counterscreen,15,57,1,1,1,2O23;9GCH;1U7T;1SO8;8CBK;9EY0;8CBL;9EY1,9GG8;9GG7;6FAU;4Y5I;6FAV;6FAW;9GHK;6FBW,1,GTP,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
TSHR,CYP3A4,P16473,P08684,qhts_or_common_counter_screen,0,0,62,2084,gpcr,heme_p450,8,122,1,1,1,2XWT;7UTZ;3G04;7XW6;7T9I;7T9N;7XW5;7T9M,5VCC;9YK4;6MA8;4D6Z;5VCD;3NXU;1TQN;8EXB,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
HTR7,HTR6,P34969,P50406,same_protein_class,1,0,62,1080,gpcr,gpcr,1,3,0,0,0,7XTC,7YS6;8JLZ;7XTB,0,,fail_H3_holo,0,FAIL H3: HTR7 has 1 holo (7XTC 3.20 Å); HTR6 has 3. Not enough for a DualFourClass receptor freeze.
HDAC4,HDAC1,P56524,Q13547,metal_enzyme,0,1,62,572,zn_hydrolase,zn_hydrolase,15,6,1,1,1,3V31;2VQM;3UXG;5ZOO;3UZD;2VQQ;2VQJ;2VQO,7SME;9R4I;4BKX;5ICN;8VPQ;8VRT,0,,exclude_metal,0,Zn-HDAC or carbonic anhydrase; original H4 excludes as sole primary.
SMN1,NPC1,Q16637,O15118,qhts_or_common_counter_screen,0,0,60,7387,qhts_counterscreen,qhts_counterscreen,3,8,0,1,0,7W2P;4QQ6;7W30,3GKJ;3GKI;3GKH;5KWY;5HNS;6W5S;5U74;5U73,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
NPSR1,SMN1,Q6W5P4,Q16637,qhts_or_common_counter_screen,0,0,60,2931,gpcr,qhts_counterscreen,0,3,0,0,0,,7W2P;4QQ6;7W30,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
TSHR,ALDH1A1,P16473,P00352,qhts_or_common_counter_screen,0,0,58,6595,gpcr,qhts_counterscreen,8,22,1,1,1,2XWT;7UTZ;3G04;7XW6;7T9I;7T9N;7XW5;7T9M,7JWS;7JWV;7JWW;5L2M;5L2N;4WJ9;8T0T;4WP7,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
TSHR,MAPK1,P16473,P28482,qhts_or_common_counter_screen,0,0,58,2495,gpcr,kinase_atp,8,155,1,1,1,2XWT;7UTZ;3G04;7XW6;7T9I;7T9N;7XW5;7T9M,8AOJ;4ZZN;6SLG;5WP1;4QTA;4QTE;2Y9Q;6QA3,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
PIK3CA,PIK3CB,P42336,P42338,same_protein_class,1,0,56,1990,kinase_atp,kinase_atp,106,0,1,0,0,9CMK;9ASF;9CX0;7L1C;9CWY;8EXL;9CX1;9CML,,0,,fail_H3_holo,0,"FAIL H3: human PIK3CB (P42338) has zero PDB xrefs. Only mouse ortholog holos exist (2Y3A 3.30 Å, 4BFR 2.80 Å). A human-only fresh roster cannot include this pair without an ortholog-surrogate exception."
HDAC8,HDAC2,Q9BY41,Q92769,metal_enzyme,1,1,56,1098,zn_hydrolase,zn_hydrolase,53,47,1,1,1,5VI6;5DC8;5D1C;7JVU;5DC6;5BWZ;4QA5;4RN0,7KBG;6WBZ;6WBW;7LTL;6XEB;7ZZP;6WHN;7MOT,1,SHH,exclude_metal,0,Zn-HDAC or carbonic anhydrase; original H4 excludes as sole primary.
TSHR,LMNA,P16473,P02545,qhts_or_common_counter_screen,0,0,55,3324,gpcr,qhts_counterscreen,8,9,1,1,1,2XWT;7UTZ;3G04;7XW6;7T9I;7T9N;7XW5;7T9M,7WZZ;7X1B;1IFR;7Z21;6GHD;7YVD;6RPR;6SNZ,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
TSHR,MAPT,P16473,P10636,qhts_or_common_counter_screen,0,0,54,3221,gpcr,qhts_counterscreen,8,57,1,1,1,2XWT;7UTZ;3G04;7XW6;7T9I;7T9N;7XW5;7T9M,9GG8;9GG7;6FAU;4Y5I;6FAV;6FAW;9GHK;6FBW,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
HDAC4,HDAC6,P56524,Q9UBN7,metal_enzyme,0,1,54,609,zn_hydrolase,zn_hydrolase,15,21,1,1,1,3V31;2VQM;3UXG;5ZOO;3UZD;2VQQ;2VQJ;2VQO,5B8D;5KH9;3C5K;5WPB;6CE8;6CEC;6CEE;8G43,0,,exclude_metal,0,Zn-HDAC or carbonic anhydrase; original H4 excludes as sole primary.
ALDH1A1,HSD17B10,P00352,Q99714,qhts_or_common_counter_screen,1,0,53,9844,qhts_counterscreen,qhts_counterscreen,22,15,1,1,1,7JWS;7JWV;7JWW;5L2M;5L2N;4WJ9;8T0T;4WP7,2O23;9GCH;1U7T;1SO8;8CBK;9EY0;8CBL;9EY1,1,NAD,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
MAPK1,HSD17B10,P28482,Q99714,qhts_or_common_counter_screen,0,0,53,2615,kinase_atp,qhts_counterscreen,155,15,1,1,1,8AOJ;4ZZN;6SLG;5WP1;4QTA;4QTE;2Y9Q;6QA3,2O23;9GCH;1U7T;1SO8;8CBK;9EY0;8CBL;9EY1,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
TSHR,HSD17B10,P16473,Q99714,qhts_or_common_counter_screen,0,0,52,4014,gpcr,qhts_counterscreen,8,15,1,1,1,2XWT;7UTZ;3G04;7XW6;7T9I;7T9N;7XW5;7T9M,2O23;9GCH;1U7T;1SO8;8CBK;9EY0;8CBL;9EY1,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
TSHR,CYP2D6,P16473,P10635,qhts_or_common_counter_screen,0,0,52,1263,gpcr,heme_p450,8,14,1,1,1,2XWT;7UTZ;3G04;7XW6;7T9I;7T9N;7XW5;7T9M,3TBG;4WNU;4WNV;6CSD;6CSB;4XRZ;4XRY;4WNT,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
L3MBTL1,LMNA,Q9Y468,P02545,qhts_or_common_counter_screen,0,0,51,2249,chromatin_reader,qhts_counterscreen,17,9,1,1,1,1OZ2;2RHI;6BYB;1OYX;1OZ3;2RJE;2RHU;2RHY,7WZZ;7X1B;1IFR;7Z21;6GHD;7YVD;6RPR;6SNZ,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
