document_chembl_id,pubmed_id,doi,patent_id,year
CHEMBL4325914,30508379,10.1021/acs.jmedchem.8b01612,,2018
CHEMBL4330108,30600149,10.1016/j.bmc.2018.12.032,,2019
CHEMBL4330159,30701972,10.1021/acs.jnatprod.8b00592,,2019
CHEMBL4334490,31494475,10.1016/j.ejmech.2019.111664,,2019
CHEMBL4340546,31029551,10.1016/j.bmc.2019.04.021,,2019
CHEMBL4342404,30744931,10.1016/j.bmc.2019.01.025,,2019
CHEMBL4342409,30878832,10.1016/j.ejmech.2019.03.004,,2019
CHEMBL4346659,30875504,10.1016/j.ejmech.2019.02.077,,2019
CHEMBL4350987,31125894,10.1016/j.ejmech.2019.05.029,,2019
CHEMBL4351013,31265934,10.1016/j.ejmech.2019.06.041,,2019
CHEMBL4354810,31550151,10.1021/acs.jmedchem.9b00640,,2020
CHEMBL4354814,31609608,10.1021/acs.jmedchem.9b00623,,2019
CHEMBL4354855,32083858,10.1021/acs.jmedchem.9b01916,,2020
CHEMBL4359834,31244112,10.1021/acs.jmedchem.9b00525,,2019
CHEMBL4359860,31376562,10.1016/j.ejmech.2019.07.053,,2019
CHEMBL4359867,31387063,10.1016/j.ejmech.2019.07.055,,2019
CHEMBL4359902,31446244,10.1016/j.ejmech.2019.111630,,2019
CHEMBL4364258,31185414,10.1016/j.ejmech.2019.05.080,,2019
CHEMBL4364276,31228810,10.1016/j.ejmech.2019.06.021,,2019
CHEMBL4364324,31352246,10.1016/j.ejmech.2019.07.059,,2019
CHEMBL4368927,30733087,10.1016/j.bmc.2019.01.027,,2019
CHEMBL4373732,31581005,10.1016/j.ejmech.2019.111718,,2019
CHEMBL4376860,,,,
CHEMBL4382291,,,,
CHEMBL4385653,,,,
CHEMBL4387720,,,,
CHEMBL4387758,,,,
CHEMBL4390691,,,,
CHEMBL4393671,,,,
CHEMBL4396901,,,,
CHEMBL4402587,,,,
CHEMBL4406914,,,,
CHEMBL4411304,,,,
CHEMBL4414549,,,,
CHEMBL4414631,,,,
CHEMBL4428047,,,,
CHEMBL4428080,,,,
CHEMBL4477207,,,,
CHEMBL4477271,,,,
CHEMBL4480410,,,,
CHEMBL4602614,,,,
CHEMBL4616583,,,,
CHEMBL4616657,,,,
CHEMBL4622845,,,,
CHEMBL4622931,,,,
CHEMBL4627322,,,,
CHEMBL4665651,,,,
CHEMBL4665670,,,,
CHEMBL4665812,,,,
CHEMBL4673177,,,,
CHEMBL4673178,33479663,10.1039/d0md00012d,,2020
CHEMBL4673190,33479617,10.1039/d0md00227e,,2020
CHEMBL4673260,,,,
CHEMBL4680246,,,,
CHEMBL4680347,33440319,10.1016/j.bmc.2021.115997,,2021
CHEMBL4706478,29360358,10.1021/acs.jmedchem.7b01465,,2018
CHEMBL4706588,,,,
CHEMBL4706599,32987316,10.1016/j.ejmech.2020.112865,,2020
CHEMBL4706640,,,,
CHEMBL4715815,,,,
CHEMBL4715864,,,,
CHEMBL4715878,,,,
CHEMBL4715884,,,,
CHEMBL4725253,,,,
CHEMBL4725379,,,,
CHEMBL4725402,,,,
CHEMBL4725466,33214824,10.1021/acsmedchemlett.0c00289,,2020
CHEMBL4732078,,,,
CHEMBL4732120,,,,
CHEMBL4732181,33545637,10.1016/j.ejmech.2021.113222,,2021
CHEMBL4732196,33561608,10.1016/j.ejmech.2021.113249,,2021
CHEMBL4732210,,,,
CHEMBL4765271,32088494,10.1016/j.ejmech.2020.112140,,2020
CHEMBL4765304,,,,
CHEMBL4765307,,,,
CHEMBL4765308,32380361,10.1016/j.ejmech.2020.112282,,2020
CHEMBL4765318,32402933,10.1016/j.ejmech.2020.112339,,2020
CHEMBL4765338,32454229,10.1016/j.ejmech.2020.112415,,2020
CHEMBL4765397,32717477,10.1016/j.ejmech.2020.112637,,2020
CHEMBL4806966,,,,
CHEMBL4808203,,,,
CHEMBL4811304,,,,
CHEMBL4813920,33234343,10.1016/j.ejmech.2020.112994,,2021
CHEMBL4813972,,,,
CHEMBL4813992,,,,
CHEMBL4813994,,,,
CHEMBL4819017,,,,
CHEMBL4823294,,,,
CHEMBL4825688,,,,
CHEMBL4831512,34384024,10.1021/acs.jmedchem.1c00986,,2021
CHEMBL4834452,34015505,10.1016/j.bmcl.2021.128118,,2021
CHEMBL4837234,,,,
CHEMBL4837240,,,,
CHEMBL4840351,,,,
CHEMBL4842362,34418785,10.1016/j.ejmech.2021.113779,,2021
CHEMBL4842376,,,,
CHEMBL4842397,,,,
CHEMBL5029145,,,,
CHEMBL5029165,34555506,10.1016/j.bmcl.2021.128374,,2021
CHEMBL5030535,,,,
CHEMBL5042540,,,,
CHEMBL5046229,34802837,10.1016/j.ejmech.2021.113996,,2022
CHEMBL5046253,,,,
CHEMBL5096219,,,,
CHEMBL5104232,,,,
CHEMBL5108025,35964425,10.1016/j.ejmech.2022.114661,,2022
CHEMBL5108043,,,,
CHEMBL5108059,36191148,10.1021/acs.jmedchem.2c00572,,2022
CHEMBL5113427,,,,
CHEMBL5113467,35779827,10.1016/j.bmcl.2022.128873,,2022
CHEMBL5113531,,,,
CHEMBL5126513,,,,
CHEMBL5126514,34894440,10.1016/j.ejmech.2021.114039,,2022
CHEMBL5126540,35276424,10.1016/j.ejmech.2022.114242,,2022
CHEMBL5131375,,,,
CHEMBL5131445,,,,
CHEMBL5131516,,,,
CHEMBL5137005,35311289,10.1021/acs.jmedchem.1c01714,,2022
CHEMBL5137017,,,,
CHEMBL5143505,34323489,10.1021/acs.jmedchem.1c00876,,2022
CHEMBL5143580,,,,
CHEMBL5143740,35834807,10.1021/acs.jmedchem.2c00549,,2022
CHEMBL5149968,,,,
CHEMBL5150004,,,,
CHEMBL5150064,,,,
CHEMBL5154779,35247755,10.1016/j.ejmech.2022.114231,,2022
CHEMBL5154805,35299116,10.1016/j.ejmech.2022.114248,,2022
CHEMBL5154811,35319895,10.1021/acs.jmedchem.1c00710,,2022
CHEMBL5209897,,,,
CHEMBL5210307,,10.6019/chembl5210307,,2023
CHEMBL5212743,,10.6019/chembl5212743,,2023
CHEMBL5214883,33077264,10.1016/j.ejmech.2020.112904,,2021
CHEMBL5214889,,,,
CHEMBL5214923,35688004,10.1016/j.ejmech.2022.114498,,2022
CHEMBL5214926,,,,
CHEMBL5214927,35858523,10.1016/j.ejmech.2022.114606,,2022
CHEMBL5223150,36503229,10.1021/acs.jmedchem.2c01070,,2022
CHEMBL5226286,33421712,10.1016/j.ejmech.2020.113102,,2021
CHEMBL5226297,,,,
CHEMBL5230093,32688198,10.1016/j.ejmech.2020.112506,,2020
CHEMBL5230100,32739648,10.1016/j.ejmech.2020.112640,,2020
CHEMBL5230125,,,,
CHEMBL5230127,32966896,10.1016/j.ejmech.2020.112820,,2020
CHEMBL5230142,34153839,10.1016/j.bmc.2021.116270,,2021
CHEMBL5233203,34778767,10.1039/d1md00131k,,2021
CHEMBL5233206,35028560,10.1039/d1md00217a,,2021
CHEMBL5233266,,,,
CHEMBL5236653,36580744,10.1016/j.bmc.2022.117146,,2023
CHEMBL5236659,36599263,10.1016/j.bmc.2022.117133,,2023
CHEMBL5241122,,,,
CHEMBL5241132,,,,
CHEMBL5244238,,,,
CHEMBL5247618,,,,
CHEMBL5247657,36912866,10.1021/acs.jmedchem.2c01938,,2023
CHEMBL5252519,,,,
CHEMBL5252533,,,,
CHEMBL5252548,,,,
CHEMBL5252585,,,,
CHEMBL5252646,,,,
CHEMBL5257057,,,,
CHEMBL5291721,37468498,10.1038/s41467-023-40064-9,,2023
CHEMBL5331096,,,,
CHEMBL5338756,,,,
CHEMBL5344402,35987018,10.1016/j.ejmech.2022.114630,,2022
CHEMBL5346869,,,,
CHEMBL5346961,,,,
CHEMBL5352392,35987020,10.1016/j.ejmech.2022.114674,,2022
CHEMBL5352457,36462441,10.1016/j.ejmech.2022.114940,,2023
CHEMBL5360557,36996715,10.1016/j.ejmech.2023.115301,,2023
CHEMBL5360568,37031527,10.1016/j.ejmech.2023.115288,,2023
CHEMBL5360595,37421416,10.1021/acs.jmedchem.3c00252,,2023
CHEMBL5365452,,,,
CHEMBL5365503,37736169,10.1021/acsmedchemlett.3c00287,,2023
CHEMBL5370564,37421709,10.1016/j.bmc.2023.117402,,2023
CHEMBL5385871,36758304,10.1016/j.ejmech.2023.115172,,2023
CHEMBL5385938,,,,
CHEMBL5390208,37615114,10.1021/acs.jnatprod.3c00391,,2023
CHEMBL5444388,,,,
CHEMBL5445981,,10.6019/chembl5445981,,2024
CHEMBL5446079,,,,
CHEMBL5465560,,,,
CHEMBL5500428,,,,
CHEMBL5506072,,,,
CHEMBL5512615,38295689,10.1016/j.ejmech.2023.116117,,2024
CHEMBL5512630,,,,
CHEMBL5518190,,,,
CHEMBL5532641,,,,
CHEMBL5532668,,,,
CHEMBL5532688,38784455,10.1039/d4md00060a,,2024
CHEMBL5532757,38911158,10.1039/d4md00113c,,2024
CHEMBL5537112,37683364,10.1016/j.ejmech.2023.115762,,2023
CHEMBL5537133,,,,
CHEMBL5543120,38518121,10.1021/acs.jmedchem.3c02302,,2024
CHEMBL5543164,,,,
CHEMBL5550082,,,,
CHEMBL5576142,,,,
CHEMBL5579820,38852337,10.1016/j.ejmech.2024.116569,,2024
CHEMBL5579880,39159497,10.1021/acs.jmedchem.4c00992,,2024
CHEMBL5584230,,,,
CHEMBL5584246,38908102,10.1016/j.ejmech.2024.116607,,2024
CHEMBL5608196,39018924,10.1016/j.ejmech.2024.116680,,2024
CHEMBL5620391,,,,
CHEMBL5625175,,,,
CHEMBL5625197,,,,
CHEMBL5647682,18188180,10.1038/sj.embor.7401155,,2008
CHEMBL5647683,,,,
CHEMBL5653604,20729870,10.1038/aps.2010.150,,2010
CHEMBL5653605,,,,
CHEMBL5653618,,,,
CHEMBL5661968,,,,
CHEMBL5661974,,,,
CHEMBL5661975,17942920,10.1158/0008-5472.can-06-3559,,2007
CHEMBL5661981,21789172,10.1371/journal.pone.0021487,,2011
CHEMBL5678799,19402821,10.1042/bj20090489,,2009
CHEMBL5678805,,,,
CHEMBL5678808,,,,
CHEMBL5696439,,,,
CHEMBL5705889,,,,
CHEMBL5705899,25177796,10.1042/bj20140889,,2014
CHEMBL5705904,26641137,10.1056/nejmoa1509981,,2016
CHEMBL5715952,,,,
CHEMBL5715955,28719179,10.1021/acs.biochem.7b00413,,2017
CHEMBL5725549,,,,
CHEMBL5725787,,,,
CHEMBL5725788,,,US-9580442-B2,2017
CHEMBL5725822,,,US-9586925-B2,2017
CHEMBL5726097,,,US-10172858-B2,2019
CHEMBL5726319,,,US-9730934-B2,2017
CHEMBL5726472,,,,
CHEMBL5726547,,,US-9796704-B2,2017
CHEMBL5726701,,,US-9862711-B2,2018
CHEMBL5726938,,,,
CHEMBL5727419,,,,
CHEMBL5728076,,,,
CHEMBL5728150,,,,
CHEMBL5728280,,,,
CHEMBL5728361,,,,
CHEMBL5728460,,,,
CHEMBL5728723,,,,
CHEMBL5729445,,,,
CHEMBL5729693,,,,
CHEMBL6071132,,,,
CHEMBL6071150,,,,
CHEMBL6074624,,,,
CHEMBL6078730,,,,
CHEMBL6083185,,,,
CHEMBL6083249,,,,
CHEMBL6092125,,,,
CHEMBL6092139,,,,
CHEMBL6092145,,,,
CHEMBL6092226,,,,
CHEMBL6103578,,,,
CHEMBL6103580,,,,
CHEMBL6114993,,,,
CHEMBL6120936,,,,
CHEMBL6121003,,,,
CHEMBL6121005,,,,
CHEMBL6134929,,,,
CHEMBL6153141,,,,
CHEMBL6153146,,,,
CHEMBL6177937,,,,
CHEMBL6182879,,,,
